Use case,Industry,Commercial Name,Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference,Paint Type
Pink pigment for cosmetics and coatings,Cosmetics,PV Fast Pink E,Ferric Ferrocyanide (Iron Blue),Fe4[Fe(CN)6]3,1.8-2.0,300-1000,1.6-1.7,Color brilliance; non-toxic; stability,https://en.wikipedia.org/wiki/Ferric_ferrocyanide,Pigment
Green pigment for safety gear and plastics,Safety & Plastics,Copper Chromite Green,Copper(II) Chromite,CuCr2O4,5.3-5.8,1000-10000,1.8-1.9,Weather stability; high opacity; durability,https://en.wikipedia.org/wiki/Chromium-based_pigments,Pigment
Blue pigment for printing inks,Printing,PB 15:3 (Phthalo Blue BGS),Copper Phthalocyanine Beta Form,C32H16CuN8,1.6-1.7,300-1000,1.66-1.70,High lightfastness; color strength; stability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7988984/,Pigment
Orange pigment for ceramic glazes,Ceramics,Cadmium Orange,Cadmium Sulfoselenide,Cd(S.Se),4.5-5.2,1000-10000,2.5-2.7,"High temperature resistance; vivid color; stability,https://en.wikipedia.org/wiki/Cadmium_sulfoselenide",Pigment
Yellow pigment for textile coatings,Textiles,Hansa Yellow G,Arylide Yellow,C12H12Cl2N4O2,1.3-1.5,1000-10000,1.6-1.7,Brightness; fast-drying; non-toxicity,https://en.wikipedia.org/wiki/Arylide_yellow,Pigment
Brown pigment for architectural coatings,Architectural,Raw Umber,Natural Iron Oxide with Manganese,Fe2O3.MnO2,3.8-4.1,,2.2-2.4,Natural hue; stability; UV resistance,https://en.wikipedia.org/wiki/Umber,Pigment
White pigment alternative for plastics,Plastics,Lithopone BLanc Fixe Mix,Zinc Sulfide + Barium Sulfate,ZnS.BaSO4,4.1,1000-10000,1.84-2.1,Opacity; cost-effective; chemical inertness,https://en.wikipedia.org/wiki/Lithopone,Pigment
Blue pigment for artist paints,Art Supplies,Cerulean Blue,Cobalt(II) Stannate,CoSnO3,4.3-4.9,1200-1300,1.79-1.81,Excellent lightfastness; muted hue; opacity,https://en.wikipedia.org/wiki/Cerulean,Pigment
Green pigment for plastics,Plastics,PG 17,Chromium Oxide Hydrate,Cr2O3.xH2O,3.5-3.9,600-10000,2.1-2.3,Weather resistance; non-toxicity; chemical stability,https://pubchem.ncbi.nlm.nih.gov/compound/Chromium-oxide-hydrate,Pigment
Red pigment for architectural finishes,Architectural,Venetian Red,Natural Iron Oxide with Hematite,Fe2O3,4.9-5.2,1500-10000,2.94,Earthy tone; lightfastness; low cost,https://en.wikipedia.org/wiki/Venetian_red,Pigment
Yellow pigment for automotive primers,Automotive,Nickel Titanate Yellow,Nickel(II) Titanate,NiTiO3,4.8-5.2,1350-1400,2.2-2.3,UV stability; corrosion resistance; non-migrating,https://www.sciencedirect.com/topics/chemistry/nickel-titanate,Pigment
Orange pigment for industrial coatings,Industrial,PO 13,Benzidine Orange,C12H10Cl2N6O4,1.6-1.7,250-10000,1.68-1.72,High brightness; cost efficiency; strong chroma,https://en.wikipedia.org/wiki/Benzidine,Pigment
Black pigment for ceramic coatings,Ceramics,Manganese Black,Manganese Ferrite,MnFe2O4,4.7-5.0,1500-10000,2.1-2.2,High heat resistance; color depth; UV stability,https://ceramicartsnetwork.org/daily/article/Manganese,Pigment
Yellow pigment for packaging inks,Printing,Diarylide Yellow AAOT,C.I. Pigment Yellow 13,C32H26Cl2N6O4,1.3-1.5,1000-10000,1.65-1.7,Ink compatibility; bright tone; cost-effective,https://en.wikipedia.org/wiki/Diarylide_pigment,Pigment
Pink pigment for cosmetic formulations,Cosmetics,Manganese Violet,Manganese Ammonium Pyrophosphate,NH4MnP2O7,2.45-2.6,300-1000,1.75-1.8,Cosmetic safe; soft hue; non-bleeding,https://www.personalcaremagazine.com/story/30635/manganese-violet-and-the-importance-of-stability,Pigment
Blue pigment for decorative ceramics,Ceramics,Han Blue,Barium Copper Silicate,BaCuSi4O10,3.8-4.0,1200-10000,1.65-1.7,Ancient pigment; thermal durability; unique hue,https://en.wikipedia.org/wiki/Han_blue,Pigment
Red pigment for artist oils,Art Supplies,Madder Lake,Alizarin Dye on Alumina Substrate,C14H8O4,1.3-1.4,0-300,1.65-1.7,Historical use; semi-transparency; rich tone,https://en.wikipedia.org/wiki/Madder,Pigment
Binder for alkali resistance in cement coatings,Construction,Hydro PLIOLITE,Synthetic Styrene Acrylic Copolymer,(C8H8)x.(C4H6O2)y,1.01-1.05,60-80,1.47-1.50,Alkali resistance; water resistance; adhesion,https://www.synthomer.com/products/hydro-pliolite-7102,Binder/Resin
Binder for high-gloss coatings,Decorative,BYK-Chemie Acrylic Resin,Acrylic Polyol Resin,(C10H14O4)x,1.08-1.12,80-90,1.48-1.50,Gloss retention; clarity; fast drying,https://www.byk.com/products/additives/product-details/byk-410,Binder/Resin
Binder for corrosion-resistant industrial paints,Industrial,Bayhydrol A XP 2690,Aliphatic Polyurethane Dispersion,(C7H10N2O3)x,1.04-1.07,100-120,1.52-1.55,Chemical resistance; flexibility; weather resistance,https://solutions.basf.com/catalog/coatings/3/19070229,Binder/Resin
Binder for powder coatings,Industrial,REAFREE 1982,Saturated Polyester Resin,(C10H8O4)x,1.16-1.20,100-130,1.56-1.58,Durability; flow; heat resistance,https://www.synthomer.com/products/reafree-1982,Binder/Resin
Binder for road marking paints,Transportation,Setalux 17-1453,BMAA Acrylic Copolymer,(C10H14O2)x.(C4H6O2)y,1.05-1.09,85-95,1.50-1.52,UV resistance; abrasion resistance; fast drying,https://www.allnex.com/product/setalux-17-1453,Binder/Resin
Binder for UV-cured coatings,Electronics,Ebecryl 600,Urethane Acrylate Oligomer,C25H36N2O8,1.05-1.10,0-200,1.50-1.53,UV reactivity; hardness; adhesion,https://www.allnex.com/product/ebecryl-600,Binder/Resin
Binder for exterior masonry paints,Construction,NEOCRYL XK-90,Styrene Acrylic Emulsion,(C8H8)x.(C4H6O2)y,1.02-1.06,70-85,1.48-1.50,Water resistance; alkali resistance; breathability,https://www.avient.com/products/neocryl-xk-90,Binder/Resin
Binder for flexible plastic coatings,Plastics,Paraloid B-44,Acrylic Copolymer Resin,(C5H8O2)x.(C4H6O2)y,1.10-1.12,90-105,1.49-1.52,Flexibility; clarity; chemical resistance,https://www.dow.com/en-us/pdp.paraloidb44clearpellets.11296z.html,Binder/Resin
Binder for heat-resistant coatings,Industrial,Resinox R-200,Phenolic Resin,(C8H8O)x.(C7H6O2)y,1.15-1.18,80-100,1.55-1.60,Heat resistance; solvent resistance; hardness,https://www.ube-ind.co.jp/ube/en/products/chemicals/resins.html,Binder/Resin
Binder for radiation-curable coatings,Packaging,Sartomer CN 120,Acrylated Polyester Resin,(C12H14O4)x,1.05-1.10,0-200,1.48-1.51,Fast cure; flexibility; gloss,https://www.sartomer.com/product-cn120,Binder/Resin
Binder for solvent-based enamels,Industrial,Synolac 8251,Short Oil Alkyd Resin,(C9H10O3)x.(C3H6O3)y,1.05-1.10,60-80,1.52-1.55,Gloss retention; chemical resistance; durability,https://www.synthomer.com/products/synolac-8251,Binder/Resin
Binder for marine coatings,Marine,Setalux 17-1743,Hydroxyl Functional Acrylic Resin,C10H14O4.C4H6O2 (copolymer),1.03-1.06,70-85,1.50-1.52,Salt spray resistance; UV stability; adhesion,https://www.allnex.com/en/product/setalux-17-1743,Binder/Resin
Binder for wood coatings,Furniture,Duroxyn VEF 1359,Saturated Polyester Resin,(C10H8O4)x,1.10-1.15,80-100,1.56-1.58,Flexibility; impact resistance; gloss,https://www.synthomer.com/products/duroxyn-vef-1359,Binder/Resin
Binder for automotive basecoats,Automotive,Acrythane SC601,Polyester Polyol Resin,(C10H8O4)x.(C3H6O2)y,1.08-1.12,90-100,1.54-1.57,Hardness; chemical resistance; leveling,https://ppgrefinish.com/en-US/Products/Acrythane-SC601/,Binder/Resin
Binder for UV protective exterior paints,Architectural,NeoCryl XK-98,Styrene Acrylic Latex,(C8H8)x.(C4H6O2)y,1.03-1.06,75-85,1.49-1.52,Weatherability; crack resistance; alkali resistance,https://www.avient.com/products/neocryl-xk-98,Binder/Resin
Binder for flexible coil coatings,Coil Coating,Synfac 8022,Polyester Resin,C8H8O3.C6H10O4 (copolymer),1.10-1.13,95-110,1.55-1.58,Flexibility; solvent resistance; adhesion,https://www.synthomer.com/products/synfac-8022,Binder/Resin
Binder for radiation-curing flexo inks,Packaging,Sartomer CN 104,Aliphatic Urethane Diacrylate,C21H30N2O6,1.07-1.10,0-200,1.50-1.52,Fast cure; toughness; low viscosity,https://www.sartomer.com/product-cn104,Binder/Resin
Binder for high-build epoxy primers,Industrial,Epon 828,Bisphenol A Epoxy Resin,C21H24O4,1.16-1.18,64-76,1.57-1.59,Corrosion protection; adhesion; chemical resistance,https://www.huntsman.com/advanced_materials/a/Epon-828,Binder/Resin
Binder for impact-resistant coatings,Automotive,Rucote NI-304,Saturated Carboxyl Polyester,(C10H8O4)x.(C4H6O4)y,1.20-1.23,100-120,1.56-1.60,Impact resistance; flow; gloss retention,https://www.allnex.com/product/rucote-ni-304,Binder/Resin
Binder for floor coatings,Construction,Beckopox EP 140,Wasserverdünnbares Epoxidharz,C21H24O4 (aqueous dispersion),1.10-1.14,70-90,1.57-1.59,Abrasion resistance; adhesion; chemical durability,https://www.allnex.com/product/beckopox-ep-140-w,Binder/Resin
Binder for flexible decorative coatings,Architectural,Neocryl A-2092,Styrene Acrylic Copolymer,(C8H8)x.(C5H8O2)y,1.03-1.06,70-90,1.48-1.51,Elasticity; water resistance; UV durability,https://www.avient.com/products/neocryl-a-2092,Binder/Resin
Binder for solvent-free epoxy coatings,Industrial,EPIKOTE Resin 1001,Bisphenol A Epoxy Resin,C21H24O4,1.15-1.18,64-76,1.57-1.59,Chemical resistance; hardness; corrosion protection,https://www.hexion.com/en-US/product/epikote-resin-1001,Binder/Resin
Binder for 2K polyurethane systems,Automotive,Desmodur N3300,Aliphatic Polyisocyanate,C21H30N3O6,1.10-1.20,0-200,1.50-1.52,UV stability; crosslinking ability; durability,https://solutions.covestro.com/en/products/desmodur/desmodur-n-3300,Binder/Resin
Binder for alkali-resistant coatings,Construction,Syntran 5760,Self-Crosslinking Styrene Acrylic,(C8H8)x.(C4H6O2)y,1.02-1.05,70-85,1.48-1.50,Alkali resistance; scrub resistance; adhesion,https://www.ascendperformance.com/products/syntran-5760,Binder/Resin
Binder for can coatings,Packaging,Valres 3600,Phenolic Modified Polyester,(C9H10O2)x.(C8H6O3)y,1.10-1.14,90-100,1.55-1.58,Heat resistance; metal adhesion; corrosion protection,https://www.valresa.com/en/productos/resinas/valres-3600,Binder/Resin
Binder for high-gloss UV curable coatings,Furniture,EBECRYL 5129,Aromatic Polyester Acrylate,C22H28O6,1.10-1.15,0-200,1.52-1.54,Gloss retention; chemical resistance; fast curing,https://www.allnex.com/en/product/ebecryl-5129,Binder/Resin
Binder for high solids alkyd systems,Industrial,Setal 52-1314,Long Oil Alkyd Resin,(C21H34O4)n,1.00-1.10,50-70,1.51-1.54,Open time; gloss; flexibility,https://www.allnex.com/en/product/setal-52-1314,Binder/Resin
Binder for anti-graffiti coatings,Infrastructure,LUCITE L-100,Methyl Methacrylate Polymer,(C5H8O2)n,1.12-1.18,160-180,1.49-1.51,Chemical resistance; hardness; clarity,https://www.luciteinternational.com/l-100-technical-data,Binder/Resin
Binder for flexible coil coatings,Coil Coating,VESTICOAT EP 2000,Polyester Modified Epoxy,C22H28O4.C21H24O4,1.10-1.14,70-90,1.56-1.59,Flexibility; solvent resistance; corrosion protection,https://www.evonik.com/product/vesticoat-ep-2000,Binder/Resin
Binder for electro-deposition coatings,Automotive,ELATUR DPT,Polyester Ether Resin,C20H38O6,1.05-1.10,0-200,1.50-1.53,Electrostatic stability; flexibility; conductivity,https://corporate.evonik.com/en/elatur-dpt,Binder/Resin
Extender for weather resistance in architectural paints,Architectural,OMYACARB 5,Basically Ground Calcium Carbonate,CaCO3,2.70-2.75,825-900,1.59-1.60,UV resistance; opacity; cost-effectiveness,https://www.omya.com/Documents/tds/OMYACARB_5_TDS.pdf,Extender/Filler
Filler for gloss control in coatings,Decorative,MINEX 4,Aluminum Silicate (Nepheline Syenite),KNa3Al4Si4O16,2.6-2.7,1100-1200,1.53-1.55,Gloss control; hardness; inertness,https://www.thecarycompany.com/media/pdf/specs/minex-4-spec.pdf,Extender/Filler
Extender for mechanical strength in primers,Industrial,Hubercarb Q325,Ground Calcium Carbonate,CaCO3,2.7-2.8,825-900,1.59,Reinforcement; cost reduction; pigment spacing,https://www.hubermaterials.com/calcium-carbonate/products/hubercarb-gcc/,Extender/Filler
Extender for reinforcement in wood coatings,Furniture,TALC 95,Mg Silicate Hydrate,Mg3Si4O10(OH)2,2.7-2.8,900-1000,1.57-1.59,Silky finish; adhesion; smooth texture,https://www.imerys.com/products/talc,Extender/Filler
Filler for corrosion resistance in marine coatings,Marine,WOLLASTOCOAT,Wollastonite,CaSiO3,2.9-3.0,1540-1560,1.62-1.63,Barrier protection; reinforcement; low oil absorption,https://www.imerys.com/products/wollastonite,Extender/Filler
Filler for sheen control in emulsion paints,Architectural,ASP 170,Gel Grade Kaolin,Al2Si2O5(OH)4,2.58-2.60,1000-10000,1.56-1.58,Sheen control; stain resistance; suspension stability,https://www.kaolin.com/assets/files/ASP-170.pdf,Extender/Filler
Filler for matting and texture in paints,Decorative,SILTEX 44,Amorphous Silica,SiO2,2.2-2.3,1600-10000,1.46-1.47,Matting; scrub resistance; high absorption,https://www.huberadvancedmaterials.com/products/silica/siltex-44/,Extender/Filler
Extender for improved barrier properties,Packaging,BARIMIN 200,Micronized Barium Sulfate,BaSO4,4.3-4.5,1580-1600,1.64-1.65,Chemical inertness; brightness; weight balance,https://www.solvay.com/en/product/barimin-200,Extender/Filler
Filler for anti-corrosive performance,Infrastructure,MIOX R-02,Micaceous Iron Oxide,Fe2O3,4.8-5.0,1500-10000,2.85-3.00,Barrier film; flake structure; weather resistance,https://www.kremer-pigmente.com/en/micaceous-iron-oxide-r-02-100020.html,Extender/Filler
Extender for UV resistance in roof coatings,Construction,ULTRAFINE 100,Natural Silicate Blend,Approx KAlSi3O8,2.6-2.7,1100-1200,1.55-1.58,UV resistance; heat reflection; reinforcement,https://www.natural-minerals.com/ultrafine-series,Extender/Filler
Extender for gloss retention in topcoats,Automotive,ICECAP K40,Calcined Kaolin,Al2Si2O5(OH)4,2.6-2.7,1000-10000,1.56-1.58,Gloss control; heat resistance; dispersion,https://www.imerys.com/products/icecap-k40,Extender/Filler
Filler for barrier properties in corrosion-resistant coatings,Industrial,SHIELDEX AC5,Lamellar Aluminum Silicate,KAl2(AlSi3O10)(OH)2,2.7-2.9,1100-1150,1.58-1.60,Flake reinforcement; chemical inertness; barrier effect,https://www.thecarycompany.com/shieldex-ac5,Extender/Filler
Extender for low viscosity in high solids paints,Construction,NYAD M325,Needle-Shaped Wollastonite,CaSiO3,2.9-3.1,1540-1560,1.55-1.70,Low oil absorption; reinforcement; workability,https://www.imerys.com/products/nyad-wollastonite,Extender/Filler
Filler for scratch resistance in wood finishes,Furniture,SATINTONE SP-33,Calcined Aluminum Silicate,Al2Si2O5(OH)4,2.5-2.6,1000-10000,1.56-1.58,Scratch resistance; smooth finish; flatting agent,https://www.basf.com/global/en/products/SATINTONE-SP-33,Extender/Filler
Filler for chemical resistance in metal primers,Marine,TIOXIDE TR28,Rutile Titanium Dioxide,TiO2,4.1-4.3,1840-1850,2.49-2.54,UV resistance; whiteness; chemical durability,https://www.kronostio2.com/en/products/tioxide-tr28,Extender/Filler
Filler for brightness and gloss in printing inks,Printing,SCHWEGMANN 7130,Precipitated Silica,SiO2,2.1-2.3,1600-10000,1.46-1.47,Brightness; rheology control; suspension aid,https://www.schwegmannnet.de/en/products/silicas/schwegmann-7130,Extender/Filler
Filler for lightweight coatings,Packaging,EXPANCEL 930DU,Expandable Microspheres,C2H4.C3H6 (copolymer shell),0.02-0.03,120-150,,Weight reduction; texture control; compressibility,https://www.expancel.com/products/expancel-930du,Extender/Filler
Filler for rheology and matting in waterborne paints,Architectural,ACEMATT OK 412,Amorphous Silica,SiO2,2.2-2.3,1600-10000,1.40-1.50,Matting; scratch resistance; viscosity control,https://www.evonik.com/en/products/acematt-ok-412,Extender/Filler
Extender for hiding power in primers,Industrial,FINNTALC M15,Mineral Talc,Mg3Si4O10(OH)2,2.7-2.8,900-1000,1.57-1.59,Opacity; smooth finish; suspension aid,https://www.mondo-minerals.com/products/finntalc-m15,Extender/Filler
Filler for fire retardancy in coatings,Infrastructure,ALFRIMAL 101,Ath Flame Retardant,Al(OH)3,2.4-2.5,300-320,1.57-1.59,Fire retardancy; smoke suppression; thermal stability,https://www.nabaltec.de/en/products/flame-retardants/alfrimal,Extender/Filler
Filler for UV stability in exterior coatings,Architectural,TIOWHITE R-FC5,Anatase Titanium Dioxide,TiO2,3.8-3.9,1830-1850,2.49-2.52,UV protection; whiteness; chemical resistance,https://www.tayca.co.jp/en/product/chemicals/titaniumdioxide.html,Extender/Filler
Filler for improved abrasion resistance,Industrial,DEKORIT 222,Aluminum Oxide,Al2O3,3.9-4.0,2050-2072,1.76-1.77,Hardness; wear resistance; thermal stability,https://www.matweb.com/search/datasheet.aspx?matguid=8f727c58a6cf46b38ef017af4781a0f0,Extender/Filler
Filler for anti-slip floor coatings,Construction,BAIRDSIL 720,Crystalline Silica,SiO2,2.6-2.7,1710-1725,1.54-1.55,Friction control; hardness; chemical inertness,https://www.u-s-silica.com/products/bairdsil-720,Extender/Filler
Extender for flatting and anti-settling,Furniture,AEROSIL 200,Fumed Silica,SiO2,2.2-2.3,1600-10000,1.46-1.47,Matting; thixotropy; pigment stabilization,https://www.aerosil.com/product/aerosil/en/products/aerosil-200.html,Extender/Filler
Filler for lightweight marine coatings,Marine,CENOSPHERE G-200,Alumino-Silicate Microsphere,Al2O3.SiO2,0.4-0.6,1200-10000,1.50-1.55,Low density; insulation; anti-corrosion,https://www.cenosphere.in/product-cenosphere-g200/,Extender/Filler
Extender for mechanical reinforcement,Automotive,TRANSLITE M10,Natural Wollastonite,CaSiO3,2.8-3.1,1540-1560,1.60-1.65,Strengthening; reinforcement; crack resistance,https://www.wollastonite.org/pdf/industrialapplications.pdf,Extender/Filler
Filler for solvent absorption in primers,Industrial,CARBONATE 10G,Magnesium Carbonate,MgCO3,2.9-3.0,350-400,1.45-1.55,Oil absorption; smooth dispersion; whiteness,https://www.chemicalbook.com/ProductChemicalPropertiesCB7701523_EN.htm,Extender/Filler
Extender for crack bridging in masonry paints,Construction,HESSLIGHT 99,Perlite,Na2O.K2O.Al2O3.SiO2,0.9-1.1,890-1100,1.47-1.50,Thermal insulation; low density; flexibility,https://www.hessperlite.com/technical.htm,Extender/Filler
Filler for primer texture control,Infrastructure,BASOFIX 700,Precipitated Barium Sulfate,BaSO4,4.3-4.5,1580-1600,1.64-1.65,Fineness; brightness; suspension stability,https://www.solvay.com/en/product/basofix,Extender/Filler
Extender for sheen uniformity,Decorative,HYDRASIL 301,Hydrous Aluminum Silicate,Al2O3.2SiO2.2H2O,2.5-2.7,1000-10000,1.56-1.58,Sheen control; surface smoothness; inertness,https://www.kaminllc.com/products/hydrasil-301,Extender/Filler
Dispersant for pigment wetting and stability,Industrial,Disperbyk 111,Polycarboxylic Acid Salt,C8H12O4.Na,1.10-1.15,,,Dispersibility; low viscosity; pigment stabilization,https://www.byk.com/edditives/byk-111.html,Additives
Biocide for microbial protection in water-based paints,Architectural,Acticide MBS,Methylisothiazolinone Blend,C4H5NOS,1.02-1.04,,,Microbial inhibition; long-term shelf life; broad spectrum,https://www.thor.com/products/acticide,Additives
Anti-foaming agent for high-speed mixing systems,Decorative,Tego Foamex 805,Polysiloxane Emulsion,C6H18OSi2,1.00-1.05,,,Foam suppression; compatibility; persistence,https://www.evonik.com/en/products/tego-foamex-805,Additives
Flow and leveling aid for spray coatings,Automotive,EFKA 3777,Polyether Modified Polysiloxane,C12H26O3Si,0.95-1.00,,,Leveling; wetting; anti-cratering,https://www.basf.com/global/en/products/efka-3777,Additives
Thixotrope for sag control in vertical applications,Construction,Bentone 27,Organoclay,Approx Al2O3.4SiO2.H2O,1.8-2.1,,,Rheology modification; sag resistance; stability,https://www.elementis.com/products/bentone-27,Additives
UV absorber for exterior topcoats,Architectural,Tinuvin 1130,Benzotriazole Derivative,C20H24N2O2,1.16-1.18,,,UV absorption; photo-stabilization; transparency,https://www.basf.com/global/en/products/tinuvin-1130,Additives
Adhesion promoter for multi-surface primers,Industrial,Silquest A-187,Glycidoxypropyltrimethoxysilane,C9H20O5Si,1.06-1.10,90-100,,Adhesion; moisture resistance; crosslinking,https://www.momentive.com/en-us/categories/silanes/silquest-a-187,Additives
Wetting agent for difficult substrates,Packaging,Surfynol 104,Acetylenic Diol,C10H18O2,0.95-1.00,100-10000,,Surface wetting; foam control; dynamic surface tension,https://www.eastman.com/Pages/ProductHome.aspx?product=71000434,Additives
Flash rust inhibitor for metal primers,Industrial,Additol VXW 6206,Nitrite-based Blend,C6H11NO3,1.05-1.10,,,Corrosion inhibition; early protection; metal adhesion,https://www.allnex.com/product/additol-vxw-6206,Additives
Open-time extender for waterborne systems,Decorative,Dowanol DPnB,Dipropylene Glycol n-Butyl Ether,C10H22O3,0.95-0.97,230-232,1.35-1.50,Slow evaporation; film formation; workability,https://www.dow.com/en-us/pdp.dowanol-dpnb.20592z.html,Additives
Defoamer for waterborne coatings,Industrial,FOAMSTAR ST 2438,Modified Polyether Siloxane,C10H22O3Si2,1.01-1.03,,,Low foam generation; good compatibility; long-lasting,https://www.basf.com/global/en/products/foamstar-st-2438,Additives
Thickener for rheology control in low-VOC paints,Architectural,Acrysol RM-2020,Hydrophobically Modified Alkali-Swellable Emulsion Polymer,Varies,1.04-1.07,,,Viscosity control; shear-thinning; stability,https://www.dow.com/en-us/pdp.acrysol-rm-2020.274096z.html,Additives
Flash rust inhibitor for direct-to-metal paints,Infrastructure,Halox 630,Phosphate Organic Complex,C6H6Na3O9P2,1.25-1.30,,,Flash rust resistance; early corrosion protection; compatibility,https://halox.com/product/halox-630/,Additives
Anti-settling agent for pigmented paints,Decorative,Dispelair CF 54,Polyurea-based Suspension Aid,Varies,1.05-1.10,,,Sediment control; dispersion stability; no haze,https://www.munzing.com/products/dispelair-cf-54/,Additives
Anti-skinning agent for alkyd paints,Industrial,Methyl Ethyl Ketoxime,Methyl Ethyl Ketoxime,C4H9NO,0.98-1.00,58-60,1.30-1.40,Drying inhibition; improved shelf-life; evaporation after use,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB3735985.htm,Additives
Coalescent for film formation in latex paints,Architectural,Texanol,2.2.4-Trimethyl-1.3-pentanediol Monoisobutyrate,C12H24O3,0.95-0.97,228-230,1.30-1.40,Film formation; low odor; non-yellowing,https://www.eastman.com/en/products/product-list/pages/productdetail.aspx?product=71004187,Additives
Anti-cratering agent for high gloss coatings,Automotive,BYK-361N,Polyether Modified Polysiloxane,C12H26O3Si2,1.01-1.05,,,Smooth film; flow improvement; defect reduction,https://www.byk.com/edditives/byk-361n.html,Additives
Freeze-thaw stabilizer for latex emulsions,Construction,Propylene Glycol,Propane-1.2-diol,C3H8O2,1.03-1.05,20-60,1.30-1.40,Freeze resistance; viscosity stability; low volatility,https://pubchem.ncbi.nlm.nih.gov/compound/Propylene-glycol,Additives
Surfactant for improved wetting of pigments,Printing,Surfynol 420,Acetylenic Diol Ethoxylate,C10H18O2(C2H4O)n,1.03-1.06,,,Wetting; leveling; dynamic surface tension reduction,https://www.eastman.com/en/products/product-list/pages/productdetail.aspx?product=71001370,Additives
