Use Case,Industry,Commercial Name,Chemical Name,Chemical Formula,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
Cosmetic Packaging,Personal Care,Eastapack™ PET,Polyethylene Terephthalate,(C10H8O4)n,105-110,55-60,280-320,-40-80,1.30-1.32,15.0-20.0,2100-2300,3.0-5.0,0.5-0.6,16.0-18.0,Excellent clarity; good barrier properties; recyclability,https://www.eastman.com/en/products/polyesters/pet
Beverage Bottles,Food & Beverage,Eastapack™ PET,Polyethylene Terephthalate,(C10H8O4)n,105-110,55-60,280-320,-40-80,1.30-1.32,15.0-20.0,2100-2300,3.0-5.0,0.5-0.6,16.0-18.0,Good clarity; excellent barrier; recyclability; lightweight,https://www.eastman.com/en/products/polyesters/pet
Flexible Packaging,Consumer Goods,Embrace™ HY Copolyester,Copolyester,(C12H12O4)n,95-105,40-45,350-450,-40-75,1.23-1.25,12.0-16.0,1600-1800,,0.3-0.4,15.0-17.0,Heat sealability; excellent clarity; good printability; recyclability,https://www.eastman.com/en/brands/embrace
Shrink Films for Multipacks,Beverage,Embrace™ LV Copolyester,Copolyester,(C12H12O4)n,90-100,35-40,380-480,-40-70,1.22-1.24,14.0-18.0,1500-1700,,0.3-0.4,14.0-16.0,Excellent shrink performance; clarity; toughness; printability,https://www.eastman.com/en/brands/embrace
Eyewear Frames,Optical,Tenite™ Cellulosic Plastic,Cellulose Acetate Propionate,(C12H16O8)n,90-95,30-35,20-40,-20-80,1.19-1.21,,1800-2000,2.0-3.0,1.5-2.0,12.0-14.0,High luster; good colorability; comfort; lightweight,https://www.eastman.com/en/brands/tenite-cellulosics
Tool Handles,Industrial,Tenite™ Cellulosic Plastic,Cellulose Acetate Butyrate,(C14H20O8)n,85-90,25-30,30-50,-30-70,1.15-1.17,,1600-1800,3.0-4.0,1.2-1.8,11.0-13.0,Good impact resistance; weather resistance; easy processing,https://www.eastman.com/en/brands/tenite-cellulosics
Writing Instruments,Consumer Goods,Tenite™ Cellulosic Plastic,Cellulose Acetate,(C10H14O8)n,95-100,35-40,15-30,-20-60,1.29-1.31,,1900-2100,1.5-2.5,2.0-2.5,10.0-12.0,Excellent feel; good colorability; ease of machining,https://www.eastman.com/en/brands/tenite-cellulosics
Architectural Glazing,Building & Construction,Saflex® PVB Interlayer,Polyvinyl Butyral,(C8H14O2)n,70-80,20-30,200-300,-40-70,1.06-1.10,,,,1.0-1.5,25.0-30.0,Safety; sound control; UV protection; security enhancement,https://www.eastman.com/en/brands/saflex-pvb-interlayer
Automotive Windshields,Automotive,Saflex® Q Series,Polyvinyl Butyral,(C8H14O2)n,75-85,25-35,200-300,-40-70,1.07-1.11,,,,1.0-1.5,25.0-30.0,Acoustic damping; safety; solar control; excellent clarity,https://www.eastman.com/en/brands/saflex-pvb-interlayer
Solar Panel Encapsulation,Renewable Energy,Saflex® Solar PVB,Polyvinyl Butyral,(C8H14O2)n,75-85,25-35,200-300,-40-80,1.07-1.11,,,,1.0-1.5,25.0-30.0,UV resistance; excellent adhesion; durability; moisture resistance,https://www.eastman.com/en/brands/saflex-pvb-interlayer
Tire Cord Adhesives,Automotive,Eastman™ 910,Nylon Fiber Additive,Proprietary,,,,0-150,1.10-1.15,,,,0.8-1.2,,Excellent adhesion; heat resistance; durability; chemical resistance,https://www.eastman.com/en/brands/tire-additives
Industrial Adhesives,Manufacturing,Eastman™ CAB-551,Cellulose Acetate Butyrate,(C14H20O8)n,85-90,,,-30-70,1.15-1.17,,1600-1800,,1.2-1.8,11.0-13.0,Good solubility; excellent clarity; compatibility with various resins,https://www.eastman.com/en/products/cellulosic-polymer/cellulose-acetate-butyrate
Hot Melt Adhesives,Packaging,Eastman™ Tackifier,Hydrocarbon Resin,Proprietary,,,,0-100,0.95-1.00,,,,0.1-0.2,,Excellent tackiness; good thermal stability; compatibility,https://www.eastman.com/en/products/tackifiers
Aircraft Interiors,Aerospace,Eastman™ Aviation Solvent,Specialty Solvent,Proprietary,,,,-40-80,0.85-0.88,,,,,,Low toxicity; excellent cleaning properties; low odor; safety,https://www.eastman.com/en/brands/eastman-aviation-solutions
Automotive Coatings,Automotive,Eastman™ CAB-381-0.5,Cellulose Acetate Butyrate,(C14H20O8)n,85-90,25-30,25-45,-30-70,1.16-1.18,,1650-1850,3.0-4.0,1.2-1.8,11.0-13.0,Excellent flow; quick drying; good compatibility with resins,https://www.eastman.com/en/products/cellulosic-polymer/cellulose-acetate-butyrate
Decorative Films,Building & Construction,Vanceva® Color Interlayer,Polyvinyl Butyral,(C8H14O2)n,70-80,20-30,200-300,-40-70,1.06-1.10,,,,1.0-1.5,25.0-30.0,Color variety; UV filtering; safety; design flexibility,https://www.eastman.com/en/brands/vanceva-color-pvb-interlayer
Electrical Insulation,Electronics,Eastman™ Solus™ 2100,Performance Additive,Proprietary,,35-45,,0-120,1.05-1.10,,,,0.5-0.7,18.0-20.0,Excellent dielectric properties; thermal stability; processability,https://www.eastman.com/en/products/plasticizers-adhesives/eastman-solus
Sustainable Packaging,Food & Beverage,Trēva™ Engineering Bioplastic,Cellulose-based polymer,(C8H14O6)n,115-120,45-50,15-25,-30-110,1.25-1.30,8.0-12.0,2200-2400,3.0-5.0,1.0-1.3,15.0-17.0,Bio-based content; chemical resistance; excellent clarity; temperature resistance,https://www.eastman.com/en/brands/treva
Durable Face Shields,Healthcare,Tritan™ MP100,Copolyester,(C14H16O4)n,112-117,50-55,130-150,-40-110,1.19-1.21,7.0-11.0,2000-2200,10.0-12.0,0.2-0.3,14.0-16.0,Impact resistance; chemical resistance; transparency; sterilization compatibility,https://www.eastman.com/en/brands/eastman-tritan/medical-applications
Electronic Wearable Devices,Electronics,Tritan™ MXF121,Copolyester,(C14H16O4)n,115-120,52-57,120-140,-40-110,1.19-1.21,6.0-10.0,2100-2300,11.0-13.0,0.2-0.3,15.0-17.0,Chemical resistance; impact resistance; dimensional stability; surface quality,https://www.eastman.com/en/brands/eastman-tritan
Reusable Food Containers,Sustainability,Cristal™ EV Copolyester,Copolyester,(C12H12O4)n,110-115,45-50,140-160,-40-85,1.27-1.29,15.0-19.0,1850-2050,5.0-7.0,0.3-0.4,15.0-17.0,Recyclability; excellent clarity; dishwasher durability; stain resistance,https://www.eastman.com/en/brands/cristal-copolyesters
Agricultural Irrigation Systems,Agriculture,Durastar™ Copolyester,Copolyester,(C14H16O4)n,114-119,48-53,100-120,-40-100,1.20-1.22,8.0-12.0,2050-2250,8.0-10.0,0.2-0.3,16.0-18.0,Weather resistance; UV stability; chemical resistance; durability,https://www.eastman.com/en/brands/durastar
Medical Diagnostic Cartridges,Healthcare,Tritan™ MX731,Copolyester,(C14H16O4)n,115-120,50-55,130-150,-40-110,1.19-1.21,8.0-12.0,2000-2200,10.0-12.0,0.2-0.3,14.0-16.0,High clarity; chemical compatibility; precision molding; sterilization compatibility,https://www.eastman.com/en/brands/eastman-tritan/tritan-mx731
Printable Retail Display Materials,Marketing,Spectar™ Copolyester,Copolyester,(C10H8O4)n,105-110,40-45,120-140,-30-80,1.27-1.29,10.0-14.0,1900-2100,5.0-7.0,0.3-0.4,15.0-17.0,Excellent printability; high clarity; chemical resistance; formability,https://www.eastman.com/en/brands/spectar
Play & Sporting Goods,Leisure,Tritan™ TX2001,Copolyester,(C14H16O4)n,112-117,49-54,130-160,-40-105,1.19-1.21,8.0-12.0,1950-2150,9.0-11.0,0.2-0.3,15.0-17.0,High impact resistance; outdoor durability; colorability; BPA-free,https://www.eastman.com/en/brands/eastman-tritan/tritan-tx2001
Shower Doors & Enclosures,Building & Construction,Saflex® Clear PVB,Polyvinyl Butyral,(C8H14O2)n,75-85,25-35,200-300,-40-70,1.07-1.11,,,,1.0-1.5,25.0-30.0,Safety; water resistance; clarity; acoustic performance,https://www.eastman.com/en/brands/saflex-pvb-interlayer
Hearing Aid Housings,Medical Devices,Tenite™ Cellulosic Plastic,Cellulose Acetate Propionate,(C12H16O8)n,90-95,30-35,20-40,-20-80,1.19-1.21,,1800-2000,2.0-3.0,1.5-2.0,12.0-14.0,Skin-friendly; dimensional stability; easy processing; colorability,https://www.eastman.com/en/brands/tenite-cellulosics
Authentic Luxury Packaging,Retail,Tritan™ Renew,Copolyester with Recycled Content,(C14H16O4)n,110-115,47-52,140-170,-40-105,1.18-1.20,9.0-13.0,1900-2100,8.0-10.0,0.2-0.3,15.0-17.0,Recycled content; excellent clarity; chemical resistance; processing ease,https://www.eastman.com/en/brands/eastman-tritan/tritan-renew
Child-Resistant Closures,Pharmaceutical,Eastar™ Copolyester,Copolyester,(C10H8O4)n,108-113,45-50,300-350,-40-85,1.27-1.29,18.0-22.0,1800-2000,4.0-6.0,0.3-0.4,15.0-17.0,Toughness; design flexibility; chemical resistance; consistent quality,https://www.eastman.com/en/brands/eastar
Toy Components,Children's Products,Tritan™ EX401,Copolyester,(C14H16O4)n,110-115,47-52,140-170,-40-105,1.18-1.20,9.0-13.0,1900-2100,8.0-10.0,0.2-0.3,15.0-17.0,BPA-free; impact resistance; dishwasher safe; vibrant colors,https://www.eastman.com/en/brands/eastman-tritan/tritan-ex401
Food Service Display Cases,Retail,Eastman 168™ Plasticizer,Non-phthalate Plasticizer,Proprietary,,,,0-90,0.98-1.00,,,,0.1-0.2,,Non-phthalate; low volatility; excellent efficiency; food contact safety,https://www.eastman.com/en/products/plasticizers-adhesives/eastman-168
Secure Building Access Points,Security,Saflex® Structural PVB,Polyvinyl Butyral,(C8H14O2)n,80-90,30-40,200-300,-40-70,1.07-1.11,,,,1.0-1.5,25.0-30.0,Forced entry resistance; ballistic protection; hurricane resistance; design versatility,https://www.eastman.com/en/brands/saflex-pvb-interlayer
Colorful Writing Instruments,Office Supplies,Tenite™ Cellulosic Plastic,Cellulose Acetate,(C10H14O8)n,95-100,35-40,15-30,-20-60,1.29-1.31,,1900-2100,1.5-2.5,2.0-2.5,10.0-12.0,Vibrant colors; warm tactile feel; processing versatility; sustainability,https://www.eastman.com/en/brands/tenite-cellulosics
Musical Instrument Components,Musical Equipment,Tenite™ Cellulosic Plastic,Cellulose Acetate Butyrate,(C14H20O8)n,85-90,25-30,30-50,-30-70,1.15-1.17,,1600-1800,3.0-4.0,1.2-1.8,11.0-13.0,Acoustic properties; excellent feel; humidity resistance; processability,https://www.eastman.com/en/brands/tenite-cellulosics
Green Building Materials,Sustainable Architecture,Trēva™ Engineering Bioplastic,Cellulose-based polymer,(C8H14O6)n,115-120,45-50,15-25,-30-110,1.25-1.30,8.0-12.0,2200-2400,3.0-5.0,1.0-1.3,15.0-17.0,FSC-certified content; chemical resistance; flame retardancy; sustainability,https://www.eastman.com/en/brands/treva
Cosmetic Compact Cases,Personal Care,Cadence™ Copolyester,Copolyester,(C12H12O4)n,110-115,45-50,130-150,-40-85,1.27-1.29,15.0-19.0,1900-2100,6.0-8.0,0.3-0.4,15.0-17.0,Excellent surface finish; design versatility; chemical resistance; impact strength,https://www.eastman.com/en/brands/cadence
Laboratory Consumables,Scientific Research,Tritan™ MX811,Copolyester,(C14H16O4)n,115-120,50-55,140-160,-40-110,1.19-1.21,7.0-10.0,2000-2200,10.0-12.0,0.2-0.3,14.0-16.0,Chemical resistance; clarity; sterilizability; precision molding,https://www.eastman.com/en/brands/eastman-tritan/tritan-mx811
Durable Identification Cards,Security,Eastar™ EB062,Copolyester,(C10H8O4)n,110-115,47-52,150-190,-40-85,1.27-1.29,16.0-20.0,1850-2050,5.0-7.0,0.3-0.4,15.0-17.0,Weather resistance; printability; dimensional stability; tamper resistance,https://www.eastman.com/en/brands/eastar
Specialty Food Container Lids,Food Storage,Eastar™ Copolyester,Copolyester,(C10H8O4)n,108-113,45-50,300-350,-40-85,1.27-1.29,18.0-22.0,1800-2000,4.0-6.0,0.3-0.4,15.0-17.0,Sealing properties; clarity; temperature resistance; food safety,https://www.eastman.com/en/brands/eastar
Biomedical Implant Models,Healthcare,Tritan™ MX731,Copolyester,(C14H16O4)n,115-120,50-55,130-150,-40-110,1.19-1.21,8.0-12.0,2000-2200,10.0-12.0,0.2-0.3,14.0-16.0,Biocompatibility; dimensional accuracy; chemical resistance; sterilizability,https://www.eastman.com/en/brands/eastman-tritan/tritan-mx731
Automotive Interior Trims,Automotive,Eastman GEM™ Retinol,Modified Glycerol Esters,Proprietary,,,,0-100,0.97-1.02,,,,0.1-0.2,,Low fogging; excellent compatibility; low VOC; processing ease,https://www.eastman.com/en/products/plasticizers-adhesives
Greenhouse Glazing,Agriculture,Saflex® Solar PVB,Polyvinyl Butyral,(C8H14O2)n,75-85,25-35,200-300,-40-80,1.07-1.11,,,,1.0-1.5,25.0-30.0,Light transmission; UV filtering; thermal insulation; weather resistance,https://www.eastman.com/en/brands/saflex-pvb-interlayer
Sustainable Luxury Cosmetics,Beauty,Cristal™ Renew,Copolyester with Recycled Content,(C12H12O4)n,105-110,42-47,130-150,-40-85,1.27-1.29,14.0-18.0,1850-2050,5.0-7.0,0.3-0.4,15.0-17.0,Recycled content; luxury aesthetics; chemical resistance; design versatility,https://www.eastman.com/en/brands/cristal-renew
Refillable Personal Care Containers,Sustainability,Tritan™ Renew,Copolyester with Recycled Content,(C14H16O4)n,110-115,47-52,140-170,-40-105,1.18-1.20,9.0-13.0,1900-2100,8.0-10.0,0.2-0.3,15.0-17.0,Molecular recycling technology; chemical resistance; durability; clarity,https://www.eastman.com/en/brands/eastman-tritan/tritan-renew
High-End Audio Components,Electronics,Tenite™ Cellulosic Plastic,Cellulose Acetate Propionate,(C12H16O8)n,90-95,30-35,20-40,-20-80,1.19-1.21,,1800-2000,2.0-3.0,1.5-2.0,12.0-14.0,Vibration damping; acoustic performance; excellent machining; warm feel,https://www.eastman.com/en/brands/tenite-cellulosics
Solar Panel Edge Sealants,Renewable Energy,Eastman™ Tackifier,Hydrocarbon Resin,Proprietary,,,,0-100,0.95-1.00,,,,0.1-0.2,,Weather resistance; excellent adhesion; UV stability; long service life,https://www.eastman.com/en/products/tackifiers
